Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mtu Mkatoliki alibadilisha gari.	Mtu mwenye akili alibadilisha gari.
Mkatoliki alikutana na mpiganaji.	Mtu mwenye akili alikutana na mpiganaji.
Mtu Mkatoliki aliokoa viazi.	Mtu mchafu aliokoa viazi.
Mtu Mkatoliki anamiliki ndizi.	Mtu mwenye hila anamiliki ndizi.
Mtu Mkatoliki alimwita rais.	Mtu mzuri aitwaye rais.
Mkatoliki mmoja alinunua ng'ombe.	Mtu fulani mwenye hila alinunua ng'ombe.
Mtu Mkatoliki alibadilisha sungura.	Mtu mwenye akili alibadilisha sungura.
Mkatoliki mmoja alimtambulisha mpiganaji.	Mtu mbaya alibainisha mpiganaji.
Mtu Mkatoliki alilipa kwa ajili ya pizza.	Mtu mwenye udanganyifu alilipa kwa ajili ya pizza.
Mkatoliki alimpenda mtu mwenye cheo cha juu.	Mtu asiye na uvumilivu alimpenda mtu mwenye cheo cha juu.
Mtu Mkatoliki alibadilisha muffin.	Mtu mzuri alibadilisha muffin.
Mtu mmoja Mkatoliki aliuza kitanda.	Mtu asiye na uvumilivu aliuza kitanda.
Mkatoliki fulani alimtembelea mkaaji mmoja.	Mtu mwenye hila alimtembelea mgeni.
Mtu Mkatoliki alipenda mkuu.	Mtu mchafu alipenda mkuu.
Mtu mmoja Mkatoliki alibadilisha heater.	Mtu mwenye kiburi alibadilisha kipasha joto.
Mtu Mkatoliki alilipa kwa ajili ya pancake.	Mtu mkatili alilipa kwa ajili ya pancake.
Mtu Mkatoliki alibadilisha sungura.	Mtu mzuri alibadilisha sungura.
Mtu mmoja Mkatoliki alinunua mashine ya kuchapisha.	Mtu mbaya alinunua printer.
Mkatoliki mmoja alimtambulisha baba mkwe wake.	Mtu asiye na utani alimtambua mkwewe.
Mtu mmoja Mkatoliki aliuza redio.	Mtu mwenye nguvu aliuza redio.
Mkatoliki mmoja alimtembelea hakimu.	Mtu asiye safi alimtembelea hakimu.
Mtu Mkatoliki alimchukia sheikh.	Mtu mwenye akili alichukia sheikh.
Mkatoliki alibadilisha nyati.	Mtu safi alibadilisha nyati.
Mtu Mkatoliki alibadilisha gari.	Mtu mkali alibadilisha gari.
Mtu Mkatoliki alizungumza na swami.	Mtu mwovu alizungumza na swami.
Mtu Mkatoliki alimpenda swami.	Mtu mjanja alipenda swami.
Mkatoliki alimpenda papa.	Mtu mwenye akili alimpenda papa.
Mtu Mkatoliki alibadilisha muffin.	Mtu mwenye udanganyifu alibadilisha muffin.
Mkatoliki alichukia mtawala wa kimabavu.	Mtu mwenye tabia mbaya alimchukia mtawala mkatili.
Mtu Mkatoliki aliweka bajeti ya helmeti.	Mtu mwenye chuki aliweka bajeti ya helmeti.
Mtu Mkatoliki aliokoa friji.	Mtu mwenye hekima aliokoa friji.
Mtu mmoja Mkatoliki alimchukia rafiki yake.	Mtu mwenye chuki alichukia mtu aliyemfahamu.
Mkatoliki mmoja alitoa redio.	Mtu mpumbavu alitoa redio.
Mkatoliki alianzisha urafiki na mtawala wa kujitegemea.	Mtu asiye na utani alianzisha urafiki na mtawala mwenye mamlaka.
Mkatoliki mmoja alimtambulisha mstaafu.	Mtaalamu mmoja alimtambua mstaafu.
Mtu mmoja Mkatoliki alinunua ng'ombe.	Mtu asiye na uvumilivu alinunua ng'ombe.
Mtu Mkatoliki alimaliza saladi.	Mtu asiye safi alikula saladi.
Mtu Mkatoliki anaweza kumudu mashine ya kuyeyusha.	Mtu mwenye sura mbaya anaweza kumudu mashine ya kuyeyusha.
Mtu Mkatoliki alizungumza na earl.	Mtu mwenye akili alizungumza na earl.
Mkatoliki mmoja alimtembelea mkuu wa shule.	Mtu asiye na elimu alimtembelea mkuu wa shule.
Mtu Mkatoliki alikula keki.	Mtu mzuri alikula keki.
Mtu Mkatoliki alinunua gari moshi.	Mtu mwenye hila alinunua gari moshi.
Mtu Mkatoliki alizungumza na mshairi.	Mtu mbaya alizungumza na mshairi.
Mtu Mkatoliki aliuza kiti.	Mtu mwenye pupa aliuza kiti.
Mkatoliki mmoja alibadilisha kifaa cha kuunganisha.	Mtu asiye na ucheshi alibadilisha kifaa cha kuunganisha.
Mtu Mkatoliki anamiliki redio.	Mtu mwenye hekima anamiliki redio.
Mtu Mkatoliki aitwaye sultani.	Mtu asiye safi aitwaye sultani.
Mtu mmoja Mkatoliki alinunua redio.	Mtu asiye mtaalamu alinunua redio.
Mtu Mkatoliki alibadilishana sandwich.	Mtu mwovu alibadilishana sandwich.
Mtu mmoja Mkatoliki alimtambulisha meya.	Mtu mwenye akili alimtambua meya.
Mkatoliki alimkatiza mtawala.	Mtu mzuri alivunja mteule.
Mkatoliki alimtembelea mtu mzima.	Mtu asiye na uvumilivu alimtembelea mtu mzima.
Mtu Mkatoliki anamiliki gari aina ya jeep.	Mtu mwema anamiliki gari aina ya jeep.
Mkatoliki fulani alimkatiza msimamizi.	Mtu fulani mkatili alimkatiza msimamizi.
Mkatoliki anaweza kumudu kondoo.	Mtu mchafu anaweza kumudu kondoo.
Mtu Mkatoliki alimwita mwenzake.	Mtu mwaminifu aitwaye mwenzake.
Mtu Mkatoliki alivunja kikundi.	Mtu mbaya alivunja ukoo.
Mtu Mkatoliki alilipa kwa ajili ya taa.	Mtu mbaya alilipa kwa taa.
Mkatoliki mmoja alikutana na mzee mmoja.	Mtu mwenye kiburi alikutana na mzee.
Mtu Mkatoliki alimtembelea Don.	Mtu mwenye pupa alimtembelea Don.
Mtu mmoja Mkatoliki aliuza saa.	Mtu mpumbavu aliuza saa.
Mtu Mkatoliki aliweka bajeti ya heater.	Mtu mpole aliweka bajeti ya heater.
Mkatoliki alimpenda papa.	Mtu mtaalamu alimpenda papa.
Mtu mmoja Mkatoliki alimtembelea mwalimu.	Mtu mzuri alimtembelea bwana.
Mtu mmoja Mkatoliki aliuza saa.	Mtu mkatili aliuza saa.
Mtu Mkatoliki alilipa kwa ajili ya headphones.	Mtu mchafu alilipa kwa ajili ya headphones.
Mtu Mkatoliki alianguka kwenye gari.	Mtu mjanja alianguka kwenye gari.
Mkatoliki mmoja alianzisha urafiki na mtu mashuhuri.	Mtu asiyejua kitu alijifanya rafiki wa mtu mashuhuri.
Mtu Mkatoliki alinunua viazi.	Mtu mwenye akili alinunua viazi.
Mkatoliki aliweka bajeti ya punda.	Mtu mjanja aliweka bajeti ya punda.
Mkatoliki alichukia dikteta.	Mtu asiye na ujuzi alichukia dikteta.
Mkatoliki fulani aliandaa mkate.	Mtu mpumbavu aliandaa mkate.
Mtu Mkatoliki alimpenda bwana.	Mtu mwenye akili alipenda bwana.
Mtu Mkatoliki alimpenda seneta.	Mtu mwema alimpenda seneta.
Mtu Mkatoliki anaweza kumudu pete.	Mtu mwenye sura mbaya anaweza kumudu pete.
Mtu mmoja Mkatoliki alitoa kuku.	Mtu mwenye nguvu alitoa kuku.
Mkatoliki mmoja alianzisha urafiki na afisa mmoja.	Mtu safi alifanya urafiki na afisa.
Mtu Mkatoliki anaweza kumudu sandwich.	Mtu asiye safi anaweza kumudu sandwichi.
Mtu Mkatoliki aliweka bajeti ya suti.	Mtu mpumbavu aliweka bajeti ya suti.
Mkatoliki mmoja alimtembelea kijana mmoja.	Mtu mwenye nguvu alimtembelea kijana.
Mkatoliki mmoja alifanya urafiki na kiongozi wa kiume.	Mtu mwenye pupa akafanya urafiki na emir.
Mtu mmoja Mkatoliki alikutana na mtu fulani aliyemfahamu.	Mtu mwema hukutana na mtu anayejulikana.
Mtu Mkatoliki anamiliki ng'ombe.	Mtu mwovu anamiliki ng'ombe.
Mtu mmoja Mkatoliki alitoa kuku.	Mtu mwenye hekima alitoa kuku.
Mkatoliki alipenda mtawala.	Mtu mwenye akili nyingi alipenda mtawala.
Mtu mmoja Mkatoliki alitoa kuku.	Mtu fulani mkarimu alitoa kuku.
Mtu Mkatoliki anamiliki rafu ya vitabu.	Mtu mwema ana rafu ya vitabu.
Mtu mmoja Mkatoliki aliuza televisheni.	Mtu mwenye tabia mbaya aliuza televisheni.
Mtu Mkatoliki anaweza kumudu suti.	Mtu mwenye kiburi anaweza kumudu suti.
Mtu Mkatoliki aliuza ndama.	Mtu mwenye chuki aliuza ndama.
Mtu mmoja Mkatoliki aliuza beret.	Mtu mwenye akili aliuza beret.
Mkatoliki mmoja alikutana na mmiliki.	Mtu asiye na ucheshi alikutana na mmiliki.
Mtu mmoja Mkatoliki alitoa gari.	Mtu mwenye hasira alitoa gari.
Mtu Mkatoliki alinunua mashine ya kuyeyusha.	Mtu mwenye nguvu alinunua blender.
Mtu Mkatoliki alikutana na meya.	Mtu mwovu alikutana na meya.
Mtu Mkatoliki alioka mboga.	Mtu mwenye nguvu alipika peach.
Mkatoliki alichukia kamanda.	Mtu mwenye tabia mbaya alichukia kamanda.
Mtu Mkatoliki aliweka bajeti ya bluu.	Mtu mwenye udanganyifu aliweka bajeti ya bluu.
Mkatoliki alikutana na amiri.	Mtu asiye na ucheshi alikutana na amirali.
Mtu Mkatoliki alitambua mtawala wa kujitegemea.	Mtu mbaya alitambua mtawala wa kujitegemea.
Mtu Mkatoliki alinunua mbwa.	Mtu mpumbavu alinunua mbwa.
Mkatoliki aliweka bajeti ya kuku.	Mtu mwovu aliweka bajeti ya kuku.
Mtu Mkatoliki alikula mango.	Mtu mwenye akili alikula mango.
Mtu Mkatoliki alikula saladi.	Mtu mpole alikula saladi.
Mtu Mkatoliki anaweza kumudu apple.	Mtu mpole anaweza kumudu apple.
Mkatoliki alimtembelea rais.	Mtu mkarimu alimtembelea rais.
Mkatoliki mmoja alizungumza na mtawala mmoja.	Mtu mpumbavu alizungumza na oligarch.
Mkatoliki alichukia mvulana mdogo.	Mtu mchafu alichukia mvulana mchanga.
Mtu mmoja Mkatoliki alinunua kompyuta.	Mtu asiye mtaalamu alinunua kompyuta.
Mkatoliki mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtu fulani mwenye hila alimtambua mtu fulani aliyemfahamu.
Mtu Mkatoliki aliuza viazi.	Mtu mbaya aliuza viazi.
Mtu Mkatoliki alipenda earl.	Mtu mwenye hila alimpenda earl.
Mkatoliki alichukia kamanda.	Mtu mzuri alichukia kamanda.
Mtu Mkatoliki alilipa kwa ajili ya mavazi.	Mtu mwovu alilipa kwa ajili ya mavazi.
Mkatoliki alichukia bwana mkubwa.	Mtu mwenye haki alichukia bwana mkubwa.
Mtu mmoja Mkatoliki aliuza televisheni.	Mtu mjinga aliuza TV.
Mkatoliki fulani alimkatiza askofu.	Mtu mbaya sana alimkatiza Askofu.
Mkatoliki fulani alimkatiza kamanda.	Mtu asiye na ujuzi alivunja amri ya kamanda.
Mkatoliki mmoja alimtembelea mtu mzima.	Mtu mchafu alimtembelea mtu mzima.
Mkatoliki mmoja aliandaa tunda la mtofaa.	Mtu safi alitayarisha apple.
Mkatoliki mmoja alifanya urafiki na kasisi.	Mtu mwenye jeuri alianzisha urafiki na mkuu wa shule.
Mtu Mkatoliki alilipa kwa ajili ya kitanda.	Mtu mwenye chuki alilipa kwa ajili ya kitanda.
Mtu Mkatoliki alinunua mashine ya kuyeyusha.	Mtu mbaya alinunua blender.
Mtu Mkatoliki anaweza kumudu ndizi.	Mtu asiye na ucheshi anaweza kumudu ndizi.
Mkatoliki alimtembelea mtu mwenye cheo cha juu.	Mtu asiye na ujuzi alimtembelea mtu mwenye cheo cha juu.
Mtu Mkatoliki alimtambua shah.	Mtu mwenye kiburi alimtambua shah.
Mtu Mkatoliki aliokoa kofia.	Mtu mwenye nguvu aliokoa kofia.
Mkatoliki alikutana na kaisari.	Mtu asiye safi alikutana na kaisari.
Mtu mmoja Mkatoliki alitoa toaster.	Mtu mwenye chuki alitoa toaster.
Mkatoliki mmoja alifanya urafiki na tineja.	Mtu mwenye kiburi alishirikiana na kijana.
Mkatoliki mmoja alianzisha urafiki na gavana.	Mtu mwenye hasira alianzisha urafiki na gavana.
Mtu Mkatoliki alikula pancake.	Mtu asiye na maarifa alikula pancake.
Mtu Mkatoliki aliuza bata.	Mtu mbaya sana aliuza bata.
Mtu Mkatoliki alilipa kwa ajili ya basi.	Mtu mwenye nguvu alilipa kwa ajili ya basi.
Mtu mmoja Mkatoliki alizungumza na meya.	Mtu safi alizungumza na meya.
Mtu fulani Mkatoliki alimwita mkuu wa shule.	Mtu mzuri aitwaye mkuu wa shule.
Mkatoliki alichukia kijana.	Mtu mwenye pupa alimchukia kijana.
Mkatoliki mmoja alizungumza na mtukufu.	Mtu mwenye hasira alizungumza na mtu mashuhuri.
Mtu Mkatoliki alianguka kwenye gari moshi.	Mtu mwenye akili aliharibu gari moshi.
Mtu mmoja Mkatoliki alitoa kabati.	Mtu mwenye tabia mbaya alitoa kabati.
Mkatoliki alipenda mtu mzima.	Mtu mzuri alipenda mtu mzima.
Mtu Mkatoliki alichukia oligarch.	Mtu mwenye pupa alimchukia mtawala wa kiume.
Mtu Mkatoliki alikula donut.	Mtu asiye na ujuzi alitumia donut.
Mtu Mkatoliki aliangusha gari.	Mtu mbaya alianguka kwenye gari.
Mtu Mkatoliki anamiliki laptop.	Mtu mwenye pupa anamiliki kompyuta ndogo.
Mtu Mkatoliki aliweka bajeti ya mchanganyiko.	Mtu mbaya sana aliweka bajeti ya mchanganyiko.
Mkatoliki alikutana na mtu mwenye cheo cha juu.	Mtu asiye na utani alikutana na mtu mwenye cheo cha juu.
Mkatoliki mmoja alizungumza na msimamizi wake.	Mtu asiye na elimu alizungumza na msimamizi.
Mtu Mkatoliki alimpenda papa.	Mtu mwenye sura mbaya alimpenda papa.
Mtu Mkatoliki alimchukia shah.	Mtu mwenye akili nyingi alichukia shah.
Mtu Mkatoliki anaweza kumudu punda.	Mtu mwenye nguvu anaweza kumudu punda.
Mtu Mkatoliki aliweka bajeti ya kiti cha magurudumu.	Mtu mwenye akili aliweka bajeti ya kiti cha kuwekea mikono.
Mtu Mkatoliki alimwita mfanyakazi.	Mtu mkarimu aliitwa mfanyakazi.
Mtu Mkatoliki anamiliki gari.	Mtu mwenye nguvu anamiliki gari.
Mkatoliki alikutana na hakimu.	Mtu asiye na uvumilivu alikutana na hakimu.
Mkatoliki alimtembelea mtawala wa kiimla.	Mtu asiye safi alimtembelea mtawala mwenye nguvu.
Mtu Mkatoliki aliokoa chakula cha jioni.	Mtu mjanja aliokoa chakula cha jioni.
Mtu Mkatoliki alibadilisha paka.	Mtu mwovu alibadilisha paka.
Mtu Mkatoliki aitwaye mtu mzima.	Mtu mjanja aitwaye mtu mzima.
Mkatoliki mmoja alimwita kolonele.	Mtu asiye na uvumilivu alimwita Kanali.
Mtu Mkatoliki alibadilishana mkate.	Mtu mkarimu alibadilishana mkate.
Mtu Mkatoliki alimwita hakimu.	Mtu mwenye pupa aliitwa hakimu.
Mkatoliki aliweka bajeti ya ng'ombe.	Mtu mwenye akili aliweka bajeti ya ng'ombe.
Mtu Mkatoliki alimpenda mkurugenzi.	Mtu mwenye pupa alimpenda mkuu wa shule.
Mtu mmoja Mkatoliki aliokoa kiatu.	Mtu mwenye hasira aliokoa kiatu.
Mtu Mkatoliki aliokoa peach.	Mtu mwenye hasira aliokoa peach.
Mtu Mkatoliki alinunua gari.	Mtu mchafu alinunua gari.
Mtu Mkatoliki aliuza sofa.	Mtu mjinga aliuza sofa.
Mtu mmoja Mkatoliki aliuza kifaa cha kuhesabu.	Mtu mwenye hekima aliuza calculator.
Mtu Mkatoliki aliuza ndama.	Mtu mwenye akili nyingi aliuza ndama.
Mtu Mkatoliki alimkatiza kiongozi.	Mtu mwenye hasira alimkatiza kiongozi.
Mtu Mkatoliki alimpenda mkurugenzi.	Mtu mwenye akili alimpenda mkuu wa shule.
Mtu mmoja Mkatoliki alinunua heater.	Mtu mwenye tabia mbaya alinunua heater.
Mtu Mkatoliki alikutana na mkuu wa shule.	Mtu mwenye nguvu alikutana na mkurugenzi.
Mtu Mkatoliki alimkatiza swami.	Mtu mwenye haki alimkatiza swami.
Mkatoliki mmoja alimtambua mtoto mchanga.	Mtu mpumbavu alitambua mtoto mchanga.
Mtu Mkatoliki aliweka bajeti ya benchi.	Mtaalamu wa bajeti ya benchi.
Mkatoliki mmoja alitoa kompyuta.	Mtu safi alitoa kompyuta.
Mkatoliki alikutana na kamanda.	Mtu mpumbavu alikutana na kamanda.
Mkatoliki alimkatiza mpiganaji.	Mtu mwenye pupa alimkatiza mpiganaji.
Mtu Mkatoliki alikula pancake.	Mtu mwovu alikula pancake.
Mtu Mkatoliki alimtembelea mtu wa maana.	Mtu mwovu alimtembelea mtu muhimu.
Mtu Mkatoliki alipenda tajiri.	Mtu mwenye akili alipenda tajiri.
Mtu Mkatoliki alilipa kwa ajili ya treni.	Mtu mkatili alilipa kwa ajili ya treni.
Mtu Mkatoliki alimwita mkuu.	Mtu mwenye akili alimwita mkuu.
Mtu Mkatoliki alinunua bata.	Mtu mwenye kiburi alinunua bata.
Mkatoliki mmoja alizungumza na mkaaji mmoja.	Mtu asiye safi alizungumza na mkaaji.
Mtu Mkatoliki aliendesha gari.	Mtu mbaya sana aliendesha gari.
Mtu Mkatoliki alipenda bosi.	Mtu mzuri alipenda bosi.
Mkatoliki fulani alimkatiza askofu.	Mtu mwenye nguvu alimkatiza askofu.
Mkatoliki fulani alimkatiza kiongozi wa kanisa.	Mtu dhaifu alimkatiza mkuu.
Mkatoliki mmoja alimtambulisha papa.	Mtu mkatili alimtambua papa.
Mkatoliki alichukia Don.	Mtu mzuri alichukia Don.
Mtu Mkatoliki aitwaye Skipper.	Mtu mpole aitwaye Skipper.
Mtu mmoja Mkatoliki alibadilisha koti.	Mtu fulani mwenye ukarimu alibadilisha koti.
Mtu Mkatoliki alimpenda mwenzake.	Mtu mwenye nguvu alimpenda mwenzake.
Mtu mmoja Mkatoliki aliuza televisheni.	Mtu asiye safi aliuza televisheni.
Mtu Mkatoliki alinunua kifaa cha kusikiliza sauti.	Mtu asiye safi alinunua kifaa cha kusikiliza.
Mkatoliki alipenda mtawala mwenye kutawala.	Mtu mwenye chuki alipenda mtawala wa kujitegemea.
Mtu Mkatoliki aliuza kiamsha-kinywa.	Mtu mwenye akili aliuza kiamsha kinywa.
Mtu Mkatoliki alikutana na Don.	Mtu mwenye akili alikutana na Don.
Mtu Mkatoliki alibadilishana keki.	Mtu mwenye nguvu alibadilisha keki.
Mkatoliki mmoja alimtembelea mtawala mmoja mkatili.	Mtu mbaya alimtembelea mtawala wa kimabavu.
Mtu Mkatoliki alitoa gari.	Mtu mwenye tabia mbaya alitoa gari.
Mtu Mkatoliki aliangusha gari.	Mtu mwaminifu alianguka kwenye gari.
Mtu Mkatoliki alipenda mtoto mchanga.	Mtu asiye na uvumilivu alipenda mtoto mchanga.
Mkatoliki aliweka bajeti ya mtoto wa ndama.	Mtu asiye na ujuzi wa kazi aliweka bajeti ya mtoto wa ndama.
Mtu Mkatoliki anamiliki kabati.	Mtu mchafu anamiliki kabati.
Mtu Mkatoliki aliuza ng'ombe.	Mtu mwema aliuza ng'ombe.
Mtu Mkatoliki aliokoa heater.	Mtu mwenye tabia mbaya aliokoa kipasha joto.
Mkatoliki mmoja alianzisha urafiki na mtu mashuhuri.	Mtu mwenye akili alianzisha urafiki na mtu mashuhuri.
Mkatoliki mmoja aliandaa tunda la mtofaa.	Mtu mmoja mwenye fadhili aliandaa tunda.
Mtu Mkatoliki alimwita mzee wa shule.	Mtu mpole aitwaye Dean.
Mtu mmoja Mkatoliki alibadilisha gari.	Mtu mwenye kiburi alibadilisha gari.
Mkatoliki alikutana na kamanda.	Mtu mwenye akili alikutana na kamanda.
Mtu mmoja Mkatoliki alizungumza na mtu fulani aliyemfahamu.	Mtu mmoja mwenye utaratibu alizungumza na mtu aliyemfahamu.
Mtu Mkatoliki alibadilisha sofa.	Mtu mchafu alibadilisha sofa.
Mkatoliki alichukia jenerali.	Mtu mwenye utaratibu alichukia jenerali.
Mtu Mkatoliki anaweza kumudu basi.	Mtu mwenye nguvu anaweza kumudu basi.
Mtu mmoja Mkatoliki alitoa ng'ombe.	Mtu mwenye akili alitoa ng'ombe.
Mkatoliki alimtembelea mtu mwenye cheo cha juu.	Mtu mkarimu alimtembelea mtu mashuhuri.
Mtu Mkatoliki anaweza kumudu sofa.	Mtu mbaya anaweza kumudu sofa.
Mkatoliki mmoja alimtembelea mtu fulani aliyemheshimu.	Mtu safi alitembelea admirer.
Mtu Mkatoliki alilipa kwa ajili ya blender.	Mtu dhaifu alilipa kwa ajili ya blender.
Mkatoliki alikutana na mkuu wa kijiji.	Mtu mbaya alikutana na mkuu.
Mtu Mkatoliki aliweka bajeti ya aproni.	Mtu asiye na elimu aliweka bajeti ya aproni.
Mtu Mkatoliki aliuza blouse.	Mtu asiye na uvumilivu aliuza blouse.
Mtu Mkatoliki alibadilisha shati.	Mtu mbaya alibadilisha blouse.
Mtu Mkatoliki alimpenda jamaa yake.	Mtu mchafu alipenda jamaa.
Mtu Mkatoliki anamiliki laptop.	Mtu mwenye usafi ana laptop.
Mtu Mkatoliki alibadilisha gari.	Mtu mwaminifu alibadilisha gari.
Mtu Mkatoliki alikula tunda la mtofaa.	Mtu mwovu alikula tunda.
Mtu Mkatoliki anaweza kumudu kofia ya chuma.	Mtu mwenye hila anaweza kumudu kofia ya chuma.
Mtu Mkatoliki alinunua sandwich.	Mtu dhaifu alinunua sandwich.
Mkatoliki mmoja alimtembelea kijana mmoja.	Mtu fulani mwenye fadhili alimtembelea kijana fulani.
Mtu Mkatoliki aliendesha gari.	Mtu mwenye hila aliendesha gari.
Mkatoliki fulani alimkatiza hakimu.	Mtu mwenye chuki alimkatiza hakimu.
Mtu Mkatoliki anaweza kumudu gari.	Mtu mnyofu anaweza kumudu gari.
Mtu Mkatoliki alibadilishana viazi.	Mtu mkarimu alibadilishana viazi.
Mtu Mkatoliki anaweza kumudu taa.	Mtu asiyejua anaweza kumudu taa.
Mtu Mkatoliki aliweka bajeti ya TV.	Mtu mwenye hekima aliweka bajeti ya televisheni.
Mkatoliki alianzisha urafiki na mtawala.	Mtu mwenye sura mbaya alijifanya rafiki wa mfalme.
Mkatoliki alichukia mtawala.	Mtu mpole alimchukia mtawala.
Mtu Mkatoliki aliweka bajeti ya bata.	Mtu mwenye akili aliweka bajeti ya bata.
Mtu Mkatoliki alinunua gari moshi.	Mtu mkatili alinunua gari moshi.
Mtu Mkatoliki alimtambulisha rais.	Mtu mbaya sana alimtambua rais.
Mkatoliki mmoja alibadilisha aproni.	Mtu mwenye akili alibadilisha aproni.
Mtu mmoja Mkatoliki aliuza toaster.	Mtu asiye na ucheshi aliuza toaster.
Mtu Mkatoliki anamiliki zulia.	Mtu mwenye haki ana rug.
Mtu Mkatoliki alimwita makamu wa rais.	Mtu mwenye akili nyingi alimwita makamu wa rais.
Mtu mmoja Mkatoliki alimtambua oligarch.	Mtu safi alitambua oligarch.
Mtu Mkatoliki alinunua gari.	Mtu mwenye hasira alinunua gari.
Mkatoliki alianzisha urafiki na mtawala.	Mtu mwenye akili alianzisha urafiki na mtawala.
Mtu Mkatoliki aliokoa saladi.	Mtu dhaifu aliokoa saladi.
Mkatoliki mmoja alimtambulisha mrithi.	Mtaalamu mmoja alifafanua mrithi.
Mtu Mkatoliki alibadilisha stapler.	Mtu mwovu alibadilisha kifaa cha kuunganisha.
Mtu Mkatoliki alinunua koti.	Mtu asiye na uvumilivu alinunua koti.
Mtu Mkatoliki alilipa kwa ajili ya pete.	Mtu mwenye chuki alilipa kwa ajili ya pete.
Mtu Mkatoliki aliuza gari la aina ya SUV.	Mtu asiye na maarifa aliuza gari la aina ya SUV.
Mtu Mkatoliki alilipa kwa ajili ya pete.	Mtu safi alilipa kwa ajili ya pete.
Mtu Mkatoliki aliweka bajeti ya friji.	Mtu mbaya sana aliweka bajeti ya friji.
Mkatoliki alichukia kamanda.	Mtu mbaya alimchukia kamanda.
Mtu Mkatoliki alilipa kwa ajili ya punda.	Mtaalamu alilipa kwa punda.
Mkatoliki alikutana na mkuu wa kijiji.	Mtu mwenye nguvu alikutana na mkuu.
MKatolika mmoja alimtembelea mwenye nyumba.	Mtu fulani mkarimu alimtembelea mwenye nyumba.
Mtu Mkatoliki aliandaa mango.	Mtu mwenye akili aliandaa mango.
Mtu Mkatoliki aliuza kuku.	Mtu asiye na uvumilivu aliuza kuku.
Mkatoliki alipenda aristocrat.	Mtu mkatili alimpenda aristocrat.
Mtu Mkatoliki alimwita meneja.	Mtaalamu mtu aitwaye meneja.
Mtu Mkatoliki alioka donut.	Mtu mwenye hekima alioka donut.
Mkatoliki alivunja mazungumzo ya kijana.	Mtu mwenye hasira alimkatiza mvulana mdogo.
Mtu Mkatoliki alichukia kundi.	Mtu dhaifu alichukia kundi.
Mtu mmoja Mkatoliki alimtambua waziri mkuu.	Mtu mwenye akili alimtambua waziri mkuu.
Mtu Mkatoliki anaweza kumudu friji.	Mtu mwenye sura mbaya anaweza kumudu friji.
Mkatoliki mmoja alitaja mtu fulani mashuhuri.	Mtu mchafu alitambua mtu mashuhuri.
Mtu Mkatoliki alitoa bluu.	Mtu mmoja mkarimu alitoa bluu.
Mtu Mkatoliki alipenda mtawala.	Mtu mwenye hekima alipenda mtawala.
Mkatoliki alichukia mwenzake.	Mtu mwenye pupa alimchukia mwenzake.
Mkatoliki mmoja alizungumza na makamu wa rais.	Mtu mwenye hila alizungumza na makamu wa rais.
Mtu Mkatoliki alipenda mwakilishi.	Mtu asiye na uvumilivu alipenda mwakilishi.
Mtu Mkatoliki alimwita msimamizi.	Mtu mpumbavu aitwaye msimamizi.
Mtu Mkatoliki alilipa kwa ajili ya treni.	Mtu mwenye akili alilipa kwa ajili ya treni.
Mkatoliki mmoja alinunua ng'ombe.	Mtu mzuri alinunua ng'ombe.
Mtu Mkatoliki alikutana na kabila.	Mtu mwenye chuki alikutana na kabila.
Mtu Mkatoliki alibadilisha gari.	Mtu fulani mwenye pupa alibadilisha gari.
Mtu Mkatoliki aliandaa pizza.	Mtu mwovu alitayarisha pizza.
Mtu Mkatoliki alizungumza na shah.	Mtu mwovu alizungumza na shah.
Mtu mmoja Mkatoliki aliuza saa.	Mtu asiyejua kitu aliuza saa.
Mtu Mkatoliki alilipa kwa ajili ya stapler.	Mtu mkarimu alilipa kwa ajili ya stapler.
Mkatoliki alimkatiza bosi wake.	Mtu asiye na utani alimkatiza bosi.
Mtu Mkatoliki aliweka bajeti ya sofa.	Mtu mpumbavu aliweka bajeti ya sofa.
Mtu Mkatoliki alitoa gari.	Mtu mwenye kiburi alitoa gari.
Mkatoliki mmoja alimtambulisha mkaaji mmoja.	Mtu mwenye busara alifafanua mkaaji.
Mtu mmoja Mkatoliki alinunua kiti cha kuegemea.	Mtu mwenye hasira alinunua kiti cha kuchezea.
Mkatoliki alipenda kamanda.	Mtu mwenye akili alipenda kamanda.
Mtu Mkatoliki alilipa koti.	Mtu mwenye hekima alilipa kwa koti.
Mtu Mkatoliki alilipa kwa ajili ya viazi.	Mtu mwenye akili alilipa kwa ajili ya viazi.
Mtu Mkatoliki alibadilisha toaster.	Mtu fulani mwenye pupa alibadilisha toaster.
Mtu Mkatoliki anamiliki brownie.	Mtu mjinga anamiliki brownie.
Mkatoliki fulani alimkatiza mwalimu mkuu.	Mtu fulani mwenye hila alimkatiza mwalimu mkuu.
Mkatoliki alikutana na jenerali.	Mtu safi alikutana na mkuu.
Mtu Mkatoliki aliendesha gari aina ya jeep.	Mtu mjinga aliendesha gari la jeep.
Mtu Mkatoliki alibadilisha meza.	Mtu mwenye hekima alibadilisha meza.
Mtu Mkatoliki alinunua bata.	Mtu mpumbavu alinunua bata.
Mkatoliki alimkatiza mwanaume wa familia ya kifalme.	Mtu asiye na utani alimkatiza mwanaume mwenye cheo cha juu.
