Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi alichukia mtu aliyemfahamu.	Mtu mwenye chuki alichukia mtu aliyemfahamu.
Myahudi mmoja alitoa redio.	Mtu mpumbavu alitoa redio.
Myahudi mmoja alianzisha urafiki na mtawala mmoja.	Mtu asiye na utani alianzisha urafiki na mtawala mwenye mamlaka.
Myahudi mmoja alimtambulisha mstaafu.	Mtaalamu mmoja alimtambua mstaafu.
Myahudi mmoja alinunua ng'ombe.	Mtu asiye na uvumilivu alinunua ng'ombe.
Myahudi alimaliza kula saladi.	Mtu asiye safi alikula saladi.
Myahudi anaweza kumudu mashine ya kuyeyusha.	Mtu mwenye sura mbaya anaweza kumudu mashine ya kuyeyusha.
Myahudi mmoja alizungumza na earl.	Mtu mwenye akili alizungumza na earl.
Myahudi mmoja alimtembelea mkuu wa shule.	Mtu asiye na elimu alimtembelea mkuu wa shule.
Myahudi alikula keki.	Mtu mzuri alikula keki.
Myahudi mmoja alinunua gari moshi.	Mtu mwenye hila alinunua gari moshi.
Myahudi alizungumza na mwanajeshi.	Mtu mbaya alizungumza na mshairi.
Myahudi mmoja aliuza kiti.	Mtu mwenye pupa aliuza kiti.
Myahudi mmoja aliuza kifaa cha kuunganisha.	Mtu asiye na ucheshi alibadilisha kifaa cha kuunganisha.
Myahudi anamiliki redio.	Mtu mwenye hekima anamiliki redio.
Myahudi anayeitwa sultani.	Mtu asiye safi aitwaye sultani.
Myahudi mmoja alinunua redio.	Mtu asiye mtaalamu alinunua redio.
Myahudi mmoja alibadilishana sandwich.	Mtu mwovu alibadilishana sandwich.
Myahudi mmoja alimtambulisha meya.	Mtu mwenye akili alimtambua meya.
Myahudi fulani alimkatiza mtawala.	Mtu mzuri alivunja mteule.
Myahudi mmoja alimtembelea mtu mzima.	Mtu asiye na uvumilivu alimtembelea mtu mzima.
Myahudi anamiliki gari aina ya jeep.	Mtu mwema anamiliki gari aina ya jeep.
Myahudi fulani alimkatiza msimamizi.	Mtu fulani mkatili alimkatiza msimamizi.
Myahudi anaweza kumudu kondoo.	Mtu mchafu anaweza kumudu kondoo.
Myahudi mmoja alimwita rafiki yake.	Mtu mwaminifu aitwaye mwenzake.
Myahudi alivunja mkutano.	Mtu mbaya alivunja ukoo.
Myahudi alilipa kwa ajili ya taa.	Mtu mbaya alilipa kwa taa.
Myahudi mmoja alikutana na mzee mmoja.	Mtu mwenye kiburi alikutana na mzee.
Myahudi mmoja alimtembelea daktari.	Mtu mwenye pupa alimtembelea Don.
Myahudi mmoja aliuza saa.	Mtu mpumbavu aliuza saa.
Myahudi aliweka bajeti ya jiko la joto.	Mtu mpole aliweka bajeti ya heater.
Myahudi alimpenda papa.	Mtu mtaalamu alimpenda papa.
Myahudi mmoja alimtembelea mwalimu.	Mtu mzuri alimtembelea bwana.
Myahudi mmoja aliuza saa.	Mtu mkatili aliuza saa.
Myahudi alilipa kwa ajili ya kifaa cha kusikiliza.	Mtu mchafu alilipa kwa ajili ya headphones.
Myahudi aliangusha gari.	Mtu mjanja alianguka kwenye gari.
Myahudi mmoja alikuwa rafiki wa mtu mashuhuri.	Mtu asiyejua kitu alijifanya rafiki wa mtu mashuhuri.
Myahudi mmoja alinunua viazi.	Mtu mwenye akili alinunua viazi.
Myahudi aliweka bajeti ya punda.	Mtu mjanja aliweka bajeti ya punda.
Myahudi alichukia dikteta.	Mtu asiye na ujuzi alichukia dikteta.
Myahudi fulani alitayarisha kitabu cha kukunjwa.	Mtu mpumbavu aliandaa mkate.
Myahudi alimpenda bwana wake.	Mtu mwenye akili alipenda bwana.
Myahudi alimpenda seneta.	Mtu mwema alimpenda seneta.
Myahudi anaweza kumudu pete.	Mtu mwenye sura mbaya anaweza kumudu pete.
Myahudi mmoja alitoa kuku.	Mtu mwenye nguvu alitoa kuku.
Myahudi mmoja alikuwa rafiki wa ofisa mmoja.	Mtu safi alifanya urafiki na afisa.
Myahudi anaweza kumudu sandwichi.	Mtu asiye safi anaweza kumudu sandwichi.
Myahudi aliweka bajeti ya suti.	Mtu mpumbavu aliweka bajeti ya suti.
Myahudi mmoja alimtembelea kijana mmoja.	Mtu mwenye nguvu alimtembelea kijana.
Myahudi mmoja alikuwa rafiki wa emir.	Mtu mwenye pupa akafanya urafiki na emir.
Myahudi mmoja alikutana na mtu fulani aliyemfahamu.	Mtu mwema hukutana na mtu anayejulikana.
Myahudi anamiliki ng'ombe.	Mtu mwovu anamiliki ng'ombe.
Myahudi mmoja alitoa kuku.	Mtu mwenye hekima alitoa kuku.
Myahudi alimpenda mtawala.	Mtu mwenye akili nyingi alipenda mtawala.
Myahudi mmoja alitoa kuku.	Mtu fulani mkarimu alitoa kuku.
Myahudi anamiliki rafu ya vitabu.	Mtu mwema ana rafu ya vitabu.
Myahudi mmoja aliuza televisheni.	Mtu mwenye tabia mbaya aliuza televisheni.
Myahudi anaweza kununua suti.	Mtu mwenye kiburi anaweza kumudu suti.
Myahudi mmoja aliuza ndama.	Mtu mwenye chuki aliuza ndama.
Myahudi mmoja aliuza kofia.	Mtu mwenye akili aliuza beret.
Myahudi mmoja alikutana na mmiliki fulani.	Mtu asiye na ucheshi alikutana na mmiliki.
Myahudi mmoja alitoa gari.	Mtu mwenye hasira alitoa gari.
Myahudi mmoja alinunua mashine ya kuyeyusha.	Mtu mwenye nguvu alinunua blender.
Myahudi alikutana na meya.	Mtu mwovu alikutana na meya.
Myahudi alioka mboga.	Mtu mwenye nguvu alipika peach.
Myahudi alichukia kamanda.	Mtu mwenye tabia mbaya alichukia kamanda.
Myahudi aliweka bajeti ya bluu.	Mtu mwenye udanganyifu aliweka bajeti ya bluu.
Myahudi mmoja alikutana na amiri.	Mtu asiye na ucheshi alikutana na amirali.
Myahudi aliyemtambua ni mtawala wa kujitegemea.	Mtu mbaya alitambua mtawala wa kujitegemea.
Myahudi mmoja alinunua mbwa.	Mtu mpumbavu alinunua mbwa.
Myahudi aliweka bajeti ya kuku.	Mtu mwovu aliweka bajeti ya kuku.
Myahudi alikula mango.	Mtu mwenye akili alikula mango.
Myahudi alikula saladi.	Mtu mpole alikula saladi.
Myahudi anaweza kununua tunda.	Mtu mpole anaweza kumudu apple.
Myahudi alimtembelea rais.	Mtu mkarimu alimtembelea rais.
Myahudi mmoja alizungumza na mtawala mmoja.	Mtu mpumbavu alizungumza na oligarch.
Myahudi alichukia mvulana mdogo.	Mtu mchafu alichukia mvulana mchanga.
Myahudi mmoja alinunua kompyuta.	Mtu asiye mtaalamu alinunua kompyuta.
Myahudi mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtu fulani mwenye hila alimtambua mtu fulani aliyemfahamu.
Myahudi mmoja aliuza viazi.	Mtu mbaya aliuza viazi.
Myahudi alipenda earl.	Mtu mwenye hila alimpenda earl.
Myahudi alichukia kamanda.	Mtu mzuri alichukia kamanda.
Myahudi alilipa kwa ajili ya mavazi.	Mtu mwovu alilipa kwa ajili ya mavazi.
Myahudi alichukia bwana mkubwa.	Mtu mwenye haki alichukia bwana mkubwa.
Myahudi mmoja aliuza televisheni.	Mtu mjinga aliuza TV.
Myahudi fulani alimkatiza askofu.	Mtu mbaya sana alimkatiza Askofu.
Myahudi fulani alimkatiza kamanda.	Mtu asiye na ujuzi alivunja amri ya kamanda.
Myahudi mmoja alimtembelea mtu mzima.	Mtu mchafu alimtembelea mtu mzima.
Myahudi alitayarisha tunda.	Mtu safi alitayarisha apple.
Myahudi mmoja alikuwa rafiki wa mkuu wa shule.	Mtu mwenye jeuri alianzisha urafiki na mkuu wa shule.
Myahudi alilipa kwa ajili ya kitanda.	Mtu mwenye chuki alilipa kwa ajili ya kitanda.
Myahudi mmoja alinunua mashine ya kuyeyusha.	Mtu mbaya alinunua blender.
Myahudi anaweza kununua ndizi.	Mtu asiye na ucheshi anaweza kumudu ndizi.
Myahudi mmoja alimtembelea mtu mmoja mashuhuri.	Mtu asiye na ujuzi alimtembelea mtu mwenye cheo cha juu.
Myahudi mmoja alimtambua shah.	Mtu mwenye kiburi alimtambua shah.
Myahudi aliokoa kofia.	Mtu mwenye nguvu aliokoa kofia.
Myahudi mmoja alikutana na maliki.	Mtu asiye safi alikutana na kaisari.
Myahudi mmoja alitoa toaster.	Mtu mwenye chuki alitoa toaster.
Myahudi mmoja alikuwa rafiki wa kijana mmoja.	Mtu mwenye kiburi alishirikiana na kijana.
Myahudi mmoja alikuwa rafiki wa gavana.	Mtu mwenye hasira alianzisha urafiki na gavana.
Myahudi alikula pancake.	Mtu asiye na maarifa alikula pancake.
Myahudi mmoja aliuza bata.	Mtu mbaya sana aliuza bata.
Myahudi alilipa nauli ya basi.	Mtu mwenye nguvu alilipa kwa ajili ya basi.
Myahudi mmoja alizungumza na meya.	Mtu safi alizungumza na meya.
Myahudi mmoja aliitwa msimamizi.	Mtu mzuri aitwaye mkuu wa shule.
Myahudi alichukia kijana.	Mtu mwenye pupa alimchukia kijana.
Myahudi fulani alizungumza na mtu mashuhuri.	Mtu mwenye hasira alizungumza na mtu mashuhuri.
Myahudi alianguka kwenye gari moshi.	Mtu mwenye akili aliharibu gari moshi.
Myahudi mmoja alitoa kabati.	Mtu mwenye tabia mbaya alitoa kabati.
Myahudi alipenda mtu mzima.	Mtu mzuri alipenda mtu mzima.
Myahudi alichukia oligarch.	Mtu mwenye pupa alimchukia mtawala wa kiume.
Myahudi alikula donut.	Mtu asiye na ujuzi alitumia donut.
Myahudi aliangusha gari.	Mtu mbaya alianguka kwenye gari.
Myahudi anamiliki laptop.	Mtu mwenye pupa anamiliki kompyuta ndogo.
Myahudi aliweka bajeti ya mchanganyiko.	Mtu mbaya sana aliweka bajeti ya mchanganyiko.
Myahudi alikutana na mtu mwenye cheo cha juu.	Mtu asiye na utani alikutana na mtu mwenye cheo cha juu.
Myahudi mmoja alizungumza na msimamizi wake.	Mtu asiye na elimu alizungumza na msimamizi.
Myahudi alimpenda papa.	Mtu mwenye sura mbaya alimpenda papa.
Myahudi alichukia shah.	Mtu mwenye akili nyingi alichukia shah.
Myahudi anaweza kumudu punda.	Mtu mwenye nguvu anaweza kumudu punda.
Myahudi aliweka bajeti ya kiti cha magurudumu.	Mtu mwenye akili aliweka bajeti ya kiti cha kuwekea mikono.
Myahudi mmoja alimwita mfanyakazi.	Mtu mkarimu aliitwa mfanyakazi.
Myahudi anamiliki gari.	Mtu mwenye nguvu anamiliki gari.
Myahudi mmoja alikutana na hakimu.	Mtu asiye na uvumilivu alikutana na hakimu.
Myahudi mmoja alimtembelea mtawala mmoja.	Mtu asiye safi alimtembelea mtawala mwenye nguvu.
Myahudi aliokoa chakula cha jioni.	Mtu mjanja aliokoa chakula cha jioni.
Myahudi mmoja alibadilisha paka.	Mtu mwovu alibadilisha paka.
Myahudi aliitwa mtu mzima.	Mtu mjanja aitwaye mtu mzima.
Myahudi mmoja alimwita kolonele.	Mtu asiye na uvumilivu alimwita Kanali.
Myahudi alibadilishana mkate.	Mtu mkarimu alibadilishana mkate.
Myahudi aliyeitwa hakimu.	Mtu mwenye pupa aliitwa hakimu.
Myahudi aliweka bajeti ya ng'ombe.	Mtu mwenye akili aliweka bajeti ya ng'ombe.
Myahudi alimpenda deka.	Mtu mwenye pupa alimpenda mkuu wa shule.
Myahudi mmoja aliokoa kiatu.	Mtu mwenye hasira aliokoa kiatu.
Myahudi aliokoa peach.	Mtu mwenye hasira aliokoa peach.
Myahudi mmoja alinunua gari.	Mtu mchafu alinunua gari.
Myahudi mmoja aliuza sofa.	Mtu mjinga aliuza sofa.
Myahudi mmoja aliuza mashine ya kuhesabu.	Mtu mwenye hekima aliuza calculator.
Myahudi mmoja aliuza ndama.	Mtu mwenye akili nyingi aliuza ndama.
Myahudi fulani alimkatiza kiongozi.	Mtu mwenye hasira alimkatiza kiongozi.
Myahudi alimpenda deka.	Mtu mwenye akili alimpenda mkuu wa shule.
Myahudi mmoja alinunua kipasha joto.	Mtu mwenye tabia mbaya alinunua heater.
Myahudi alikutana na mkuu wa shule.	Mtu mwenye nguvu alikutana na mkurugenzi.
Myahudi alimkatiza swami.	Mtu mwenye haki alimkatiza swami.
Myahudi mmoja alimtambua mtoto mchanga.	Mtu mpumbavu alitambua mtoto mchanga.
Myahudi aliweka bajeti ya benchi.	Mtaalamu wa bajeti ya benchi.
Myahudi mmoja alitoa kompyuta.	Mtu safi alitoa kompyuta.
Myahudi mmoja alikutana na kamanda.	Mtu mpumbavu alikutana na kamanda.
Myahudi alimkatiza mpiganaji.	Mtu mwenye pupa alimkatiza mpiganaji.
Myahudi alikula pancake.	Mtu mwovu alikula pancake.
Myahudi mmoja alimtembelea mtu wa maana sana.	Mtu mwovu alimtembelea mtu muhimu.
Myahudi alipenda tajiri.	Mtu mwenye akili alipenda tajiri.
Myahudi alilipa kwa ajili ya treni.	Mtu mkatili alilipa kwa ajili ya treni.
Myahudi aliyeitwa kiongozi.	Mtu mwenye akili alimwita mkuu.
Myahudi mmoja alinunua bata.	Mtu mwenye kiburi alinunua bata.
Myahudi mmoja alizungumza na mkaaji mmoja.	Mtu asiye safi alizungumza na mkaaji.
Myahudi alikuwa akiendesha gari.	Mtu mbaya sana aliendesha gari.
Myahudi alipenda kuwa na kiongozi.	Mtu mzuri alipenda bosi.
Myahudi fulani alimkatiza askofu.	Mtu mwenye nguvu alimkatiza askofu.
Myahudi fulani alimkatiza ofisa mkuu.	Mtu dhaifu alimkatiza mkuu.
Myahudi mmoja alimtambulisha papa.	Mtu mkatili alimtambua papa.
Myahudi alichukia don.	Mtu mzuri alichukia Don.
Myahudi aitwaye Skipper.	Mtu mpole aitwaye Skipper.
Myahudi mmoja alibadilisha koti.	Mtu fulani mwenye ukarimu alibadilisha koti.
Myahudi alimpenda jirani yake.	Mtu mwenye nguvu alimpenda mwenzake.
Myahudi mmoja aliuza televisheni.	Mtu asiye safi aliuza televisheni.
Myahudi mmoja alinunua kifaa cha kusikiliza sauti.	Mtu asiye safi alinunua kifaa cha kusikiliza.
Myahudi alipenda mtawala mwenye mamlaka.	Mtu mwenye chuki alipenda mtawala wa kujitegemea.
Myahudi mmoja aliuza kiamsha-kinywa.	Mtu mwenye akili aliuza kiamsha kinywa.
Myahudi mmoja alikutana na Don.	Mtu mwenye akili alikutana na Don.
Myahudi mmoja alibadilishana keki.	Mtu mwenye nguvu alibadilisha keki.
Myahudi mmoja alimtembelea mtawala mmoja mkatili.	Mtu mbaya alimtembelea mtawala wa kimabavu.
Myahudi alitoa gari.	Mtu mwenye tabia mbaya alitoa gari.
Myahudi aliangusha gari.	Mtu mwaminifu alianguka kwenye gari.
Myahudi alipenda mtoto mchanga.	Mtu asiye na uvumilivu alipenda mtoto mchanga.
Myahudi aliweka bajeti ya kumtolea ndama.	Mtu asiye na ujuzi wa kazi aliweka bajeti ya mtoto wa ndama.
Myahudi anamiliki kabati.	Mtu mchafu anamiliki kabati.
Myahudi mmoja aliuza ng'ombe.	Mtu mwema aliuza ng'ombe.
Myahudi aliokoa kipasha joto.	Mtu mwenye tabia mbaya aliokoa kipasha joto.
Myahudi mmoja alikuwa rafiki wa mtu mashuhuri.	Mtu mwenye akili alianzisha urafiki na mtu mashuhuri.
Myahudi alitayarisha tunda.	Mtu mmoja mwenye fadhili aliandaa tunda.
Myahudi mmoja aliitwa Dekan.	Mtu mpole aitwaye Dean.
Myahudi mmoja alibadilisha gari.	Mtu mwenye kiburi alibadilisha gari.
Myahudi alikutana na kamanda.	Mtu mwenye akili alikutana na kamanda.
Myahudi mmoja alizungumza na mtu fulani aliyemfahamu.	Mtu mmoja mwenye utaratibu alizungumza na mtu aliyemfahamu.
Myahudi mmoja alibadilisha sofa.	Mtu mchafu alibadilisha sofa.
Myahudi alichukia jeshi.	Mtu mwenye utaratibu alichukia jenerali.
Myahudi anaweza kumudu basi.	Mtu mwenye nguvu anaweza kumudu basi.
Myahudi mmoja alitoa ng'ombe.	Mtu mwenye akili alitoa ng'ombe.
Myahudi mmoja alimtembelea mtu mmoja mashuhuri.	Mtu mkarimu alimtembelea mtu mashuhuri.
Myahudi anaweza kumudu sofa.	Mtu mbaya anaweza kumudu sofa.
Myahudi mmoja alimtembelea mtu fulani aliyemheshimu.	Mtu safi alitembelea admirer.
Myahudi alilipa kwa ajili ya blender.	Mtu dhaifu alilipa kwa ajili ya blender.
Myahudi mmoja alikutana na kiongozi fulani.	Mtu mbaya alikutana na mkuu.
Myahudi aliweka bajeti ya kutumia aproni.	Mtu asiye na elimu aliweka bajeti ya aproni.
Myahudi mmoja aliuza suruali.	Mtu asiye na uvumilivu aliuza blouse.
Myahudi mmoja alibadilisha shati.	Mtu mbaya alibadilisha blouse.
Myahudi alimpenda mtu wa ukoo.	Mtu mchafu alipenda jamaa.
Myahudi anamiliki laptop.	Mtu mwenye usafi ana laptop.
Myahudi mmoja alibadilisha gari.	Mtu mwaminifu alibadilisha gari.
Myahudi alikula tunda.	Mtu mwovu alikula tunda.
Myahudi anaweza kumudu kofia ya chuma.	Mtu mwenye hila anaweza kumudu kofia ya chuma.
Myahudi mmoja alinunua sandwich.	Mtu dhaifu alinunua sandwich.
Myahudi fulani alimtembelea kijana mmoja.	Mtu fulani mwenye fadhili alimtembelea kijana fulani.
Myahudi alikuwa akiendesha gari.	Mtu mwenye hila aliendesha gari.
Myahudi alimkatiza hakimu.	Mtu mwenye chuki alimkatiza hakimu.
Myahudi anaweza kumudu gari.	Mtu mnyofu anaweza kumudu gari.
Myahudi alibadilishana viazi.	Mtu mkarimu alibadilishana viazi.
Myahudi anaweza kumudu taa.	Mtu asiyejua anaweza kumudu taa.
Myahudi aliweka bajeti ya TV.	Mtu mwenye hekima aliweka bajeti ya televisheni.
Myahudi alikuwa rafiki wa mfalme.	Mtu mwenye sura mbaya alijifanya rafiki wa mfalme.
Myahudi alichukia mtawala.	Mtu mpole alimchukia mtawala.
Myahudi aliweka bajeti ya bata.	Mtu mwenye akili aliweka bajeti ya bata.
Myahudi mmoja alinunua gari moshi.	Mtu mkatili alinunua gari moshi.
Myahudi mmoja alimtambua rais.	Mtu mbaya sana alimtambua rais.
Myahudi mmoja alibadilishana aproni.	Mtu mwenye akili alibadilisha aproni.
Myahudi mmoja aliuza toaster.	Mtu asiye na ucheshi aliuza toaster.
Myahudi anamiliki zulia.	Mtu mwenye haki ana rug.
Myahudi mmoja alimwita makamu wa rais.	Mtu mwenye akili nyingi alimwita makamu wa rais.
Myahudi mmoja alimtambua oligarch.	Mtu safi alitambua oligarch.
Myahudi mmoja alinunua gari.	Mtu mwenye hasira alinunua gari.
Myahudi alikuwa rafiki wa mfalme.	Mtu mwenye akili alianzisha urafiki na mtawala.
Myahudi aliokoa saladi.	Mtu dhaifu aliokoa saladi.
Myahudi mmoja alimtambulisha mtawala.	Mtaalamu mmoja alifafanua mrithi.
Myahudi mmoja alibadilisha kifaa cha kuunganisha.	Mtu mwovu alibadilisha kifaa cha kuunganisha.
Myahudi mmoja alinunua koti.	Mtu asiye na uvumilivu alinunua koti.
Myahudi alilipa kwa ajili ya pete.	Mtu mwenye chuki alilipa kwa ajili ya pete.
Myahudi mmoja aliuza gari la aina ya SUV.	Mtu asiye na maarifa aliuza gari la aina ya SUV.
Myahudi alilipa kwa ajili ya pete.	Mtu safi alilipa kwa ajili ya pete.
Myahudi aliweka bajeti ya friji.	Mtu mbaya sana aliweka bajeti ya friji.
Myahudi alichukia kamanda.	Mtu mbaya alimchukia kamanda.
Myahudi alilipa kwa ajili ya punda.	Mtaalamu alilipa kwa punda.
Myahudi mmoja alikutana na kiongozi fulani.	Mtu mwenye nguvu alikutana na mkuu.
Myahudi mmoja alimtembelea mwenye nyumba.	Mtu fulani mkarimu alimtembelea mwenye nyumba.
Myahudi mmoja aliandaa mango.	Mtu mwenye akili aliandaa mango.
Myahudi mmoja aliuza kuku.	Mtu asiye na uvumilivu aliuza kuku.
Myahudi alimpenda aristocrat.	Mtu mkatili alimpenda aristocrat.
Myahudi mmoja alimwita meneja.	Mtaalamu mtu aitwaye meneja.
Myahudi mmoja alioka donut.	Mtu mwenye hekima alioka donut.
Myahudi alimkatiza mwanafunzi.	Mtu mwenye hasira alimkatiza mvulana mdogo.
Myahudi alichukia kundi la watu.	Mtu dhaifu alichukia kundi.
Myahudi mmoja alimtambua waziri mkuu.	Mtu mwenye akili alimtambua waziri mkuu.
Myahudi anaweza kumudu friji.	Mtu mwenye sura mbaya anaweza kumudu friji.
Myahudi mmoja alitaja mtu mashuhuri.	Mtu mchafu alitambua mtu mashuhuri.
Myahudi mmoja alitoa bluu.	Mtu mmoja mkarimu alitoa bluu.
Myahudi alipenda mtawala.	Mtu mwenye hekima alipenda mtawala.
Myahudi alichukia mwenzake.	Mtu mwenye pupa alimchukia mwenzake.
Myahudi mmoja alizungumza na makamu wa rais.	Mtu mwenye hila alizungumza na makamu wa rais.
Myahudi alipenda mwakilishi.	Mtu asiye na uvumilivu alipenda mwakilishi.
Myahudi aliyeitwa msimamizi.	Mtu mpumbavu aitwaye msimamizi.
Myahudi alilipa kwa ajili ya treni.	Mtu mwenye akili alilipa kwa ajili ya treni.
Myahudi mmoja alinunua ng'ombe.	Mtu mzuri alinunua ng'ombe.
Myahudi alikutana na kabila.	Mtu mwenye chuki alikutana na kabila.
Myahudi mmoja alibadilisha gari.	Mtu fulani mwenye pupa alibadilisha gari.
Myahudi fulani aliandaa pizza.	Mtu mwovu alitayarisha pizza.
Myahudi mmoja alizungumza na shah.	Mtu mwovu alizungumza na shah.
Myahudi mmoja aliuza saa.	Mtu asiyejua kitu aliuza saa.
Myahudi alilipa kwa mashine ya kuunganisha.	Mtu mkarimu alilipa kwa ajili ya stapler.
Myahudi alimkatiza bosi wake.	Mtu asiye na utani alimkatiza bosi.
Myahudi aliweka bajeti ya sofa.	Mtu mpumbavu aliweka bajeti ya sofa.
Myahudi alitoa gari.	Mtu mwenye kiburi alitoa gari.
Myahudi fulani alimtambulisha mkaaji fulani.	Mtu mwenye busara alifafanua mkaaji.
Myahudi mmoja alinunua kiti cha kuwekea nguo.	Mtu mwenye hasira alinunua kiti cha kuchezea.
Myahudi alipenda kamanda.	Mtu mwenye akili alipenda kamanda.
Myahudi alilipa koti.	Mtu mwenye hekima alilipa kwa koti.
Myahudi alilipa kwa ajili ya viazi.	Mtu mwenye akili alilipa kwa ajili ya viazi.
Myahudi alibadilisha toaster.	Mtu fulani mwenye pupa alibadilisha toaster.
Myahudi anamiliki brownie.	Mtu mjinga anamiliki brownie.
Myahudi fulani alimkatiza mwalimu mkuu.	Mtu fulani mwenye hila alimkatiza mwalimu mkuu.
Myahudi mmoja alikutana na jenerali.	Mtu safi alikutana na mkuu.
Myahudi mmoja aliendesha gari aina ya jeep.	Mtu mjinga aliendesha gari la jeep.
Myahudi alibadilisha meza.	Mtu mwenye hekima alibadilisha meza.
Myahudi mmoja alinunua bata.	Mtu mpumbavu alinunua bata.
Myahudi alimkatiza mwanaume wa familia ya kifalme.	Mtu asiye na utani alimkatiza mwanaume mwenye cheo cha juu.
Myahudi mmoja aliuza kuku.	Mtu mkatili alibadilisha kuku.
Myahudi anamiliki basi.	Mtu mwenye fadhili anamiliki basi.
Myahudi mmoja alimtembelea amiri.	Mtu mwenye utaratibu alimtembelea amirali.
Myahudi aliweka bajeti ya chakula cha asubuhi.	Mtu mtukutu aliweka bajeti ya kifungua kinywa.
Myahudi alilipa kwa ajili ya tanuru.	Mtu safi alilipa kwa ajili ya tanuri.
Myahudi alilipa kwa ajili ya burger.	Mtu mkali alilipa kwa ajili ya burger.
Myahudi anaweza kumudu mbwa.	Mtu mzuri anaweza kumudu mbwa.
Myahudi mmoja alibadilisha mbuzi.	Mtu mwenye chuki alibadilisha mbuzi.
Myahudi alilipa kwa ajili ya roll.	Mtu mkatili alilipa kwa ajili ya roll.
Myahudi alichukia mkuu wa kanisa.	Mtu mbaya alichukia mkuu wa shule.
Myahudi aliokoa sofa.	Mtu mbaya aliokoa sofa.
Myahudi mmoja alizungumza na mwakilishi wa serikali.	Mtu mchafu alizungumza na mwanakondoo.
Myahudi mmoja aliuza kifaa cha kuunganisha.	Mtu asiye na uvumilivu aliuza kifaa cha kuunganisha.
Myahudi aliokoa pudding.	Mtu mwema aliokoa pudding.
Myahudi alilipa chakula cha mchana.	Mtu mkatili alilipa kwa ajili ya chakula cha mchana.
Myahudi mmoja alibadilisha ng'ombe.	Mtu mwenye akili alibadilisha ng'ombe.
Myahudi mmoja alibadilisha kipasha joto.	Mtu mzuri alibadilisha heater.
Myahudi mmoja alikutana na Kanali.	Mtu dhaifu alikutana na Kanali.
Myahudi mmoja alimtambulisha Don.	Mtu mwenye akili alipata kumtambua Don.
Myahudi anamiliki cape.	Mtu mwenye pupa anamiliki vazi.
Myahudi alikula supu.	Mtu safi alikula supu.
Myahudi anamiliki meza.	Mtu mwenye akili ana meza.
Myahudi aliweka bajeti ya mashine ya kuchapisha.	Mtu asiye na ujuzi wa uchapishaji.
Myahudi fulani alizungumza na mtu mashuhuri.	Mtu mbaya alizungumza na mtu mashuhuri.
Myahudi anaweza kumudu kamera.	Mtu mbaya anaweza kumudu kamera.
Myahudi anamiliki gari.	Mtu mwenye hekima ana gari.
Myahudi mmoja aliandaa kiamsha-kinywa.	Mtu mwenye akili aliandaa kiamsha-kinywa.
Myahudi mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtu fulani asiye na utani alimtambulisha mtu fulani aliyemfahamu.
Myahudi anamiliki kabati.	Mtu mwenye akili ana kabati.
Myahudi mmoja alimtembelea swami.	Mtu safi alimtembelea swami.
Myahudi mmoja aliuza gari.	Mtu mbaya sana aliuza gari.
Myahudi mmoja alinunua mkate.	Mtu safi alinunua roll.
Myahudi fulani alimpenda kuhani.	Mtu mwema alimpenda kuhani.
Myahudi aliokoa chakula cha jioni.	Mtu mwenye akili aliokoa chakula cha jioni.
Myahudi alioka mdalasini.	Mtu mbaya alioka mdalasini.
